year_film,year_ceremony,category,film,name
1934,1935,ACTOR,It Happened One Night,Clark Gable
1934,1935,ACTRESS,It Happened One Night,Claudette Colbert
1934,1935,ART DIRECTION,The Merry Widow (1934),"Cedric Gibbons, Fredric Hope"
1934,1935,ASSISTANT DIRECTOR,Viva Villa!,John Waters
1934,1935,CINEMATOGRAPHY,Cleopatra (1934),Victor Milner
1934,1935,DIRECTING,It Happened One Night,Frank Capra
1934,1935,FILM EDITING,Eskimo,Conrad Nervig
1934,1935,MUSIC (Scoring),One Night of Love,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,1935,MUSIC (Song),The Gay Divorcee,Music by Con Conrad; Lyrics by Herb Magidson
1934,1935,OUTSTANDING PRODUCTION,It Happened One Night,Columbia
1934,1935,SHORT SUBJECT (Cartoon),The Tortoise and the Hare,"Walt Disney, Producer"
1934,1935,SHORT SUBJECT (Comedy),La Cucaracha,"Kenneth Macgowan, Producer"
1934,1935,SHORT SUBJECT (Novelty),City of Wax,"Stacy Woodard and Horace Woodard, Producers"
1934,1935,SOUND RECORDING,One Night of Love,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,1935,WRITING (Adaptation),It Happened One Night,Robert Riskin
1934,1935,WRITING (Original Story),Manhattan Melodrama,Arthur Caesar
1935,1936,ACTOR,The Informer,Victor McLaglen
1935,1936,ACTRESS,Dangerous,Bette Davis
1935,1936,ART DIRECTION,The Dark Angel,Richard Day
1935,1936,ASSISTANT DIRECTOR,The Lives of a Bengal Lancer,"Clem Beauchamp, Paul Wing"
1935,1936,CINEMATOGRAPHY,A Midsummer Night's Dream,Hal Mohr
1935,1936,DANCE DIRECTION,Broadway Melody of 1936,Dave Gould
1935,1936,DIRECTING,The Informer,John Ford
1935,1936,FILM EDITING,A Midsummer Night's Dream,Ralph Dawson
1935,1936,MUSIC (Scoring),The Informer,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1935,1936,MUSIC (Song),Gold Diggers of 1935,Music by Harry Warren; Lyrics by Al Dubin
1935,1936,OUTSTANDING PRODUCTION,Mutiny on the Bounty (1935),Metro-Goldwyn-Mayer
1935,1936,SHORT SUBJECT (Cartoon),Three Orphan Kittens,"Walt Disney, Producer"
1935,1936,SHORT SUBJECT (Comedy),How to Sleep,"Jack Chertok, Producer"
1935,1936,SHORT SUBJECT (Novelty),Wings over Mt. Everest,Gaumont British and Skibo Productions
1935,1936,SOUND RECORDING,Naughty Marietta,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,1936,WRITING (Original Story),The Scoundrel,"Ben Hecht, Charles MacArthur"
1935,1936,WRITING (Screenplay),The Informer,Dudley Nichols
1936,1937,ACTOR,The Story of Louis Pasteur,Paul Muni
1936,1937,ACTOR IN A SUPPORTING ROLE,Come and Get It,Walter Brennan
1936,1937,ACTRESS,The Great Ziegfeld,Luise Rainer
1936,1937,ACTRESS IN A SUPPORTING ROLE,Anthony Adverse,Gale Sondergaard
1936,1937,ART DIRECTION,Dodsworth,Richard Day
1936,1937,ASSISTANT DIRECTOR,The Charge of the Light Brigade,Jack Sullivan
1936,1937,CINEMATOGRAPHY,Anthony Adverse,Gaetano Gaudio
1936,1937,DANCE DIRECTION,The Great Ziegfeld,Seymour Felix
1936,1937,DIRECTING,Mr. Deeds Goes to Town,Frank Capra
1936,1937,FILM EDITING,Anthony Adverse,Ralph Dawson
1936,1937,MUSIC (Scoring),Anthony Adverse,"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
1936,1937,MUSIC (Song),Swing Time,Music by Jerome Kern; Lyrics by Dorothy Fields
1936,1937,OUTSTANDING PRODUCTION,The Great Ziegfeld,Metro-Goldwyn-Mayer
1936,1937,SHORT SUBJECT (Cartoon),The Country Cousin,"Walt Disney, Producer"
1936,1937,SHORT SUBJECT (Color),Give Me Liberty,Warner Bros.
1936,1937,SHORT SUBJECT (One-reel),Bored of Education,"Hal Roach, Producer"
1936,1937,SHORT SUBJECT (Two-reel),The Public Pays,Metro-Goldwyn-Mayer
1936,1937,SOUND RECORDING,San Francisco,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1936,1937,WRITING (Original Story),The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney"
1936,1937,WRITING (Screenplay),The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney"
1937,1938,ACTOR,Captains Courageous,Spencer Tracy
1937,1938,ACTOR IN A SUPPORTING ROLE,The Life of Emile Zola,Joseph Schildkraut
1937,1938,ACTRESS,The Good Earth,Luise Rainer
1937,1938,ACTRESS IN A SUPPORTING ROLE,In Old Chicago,Alice Brady
1937,1938,ART DIRECTION,Lost Horizon,Stephen Goosson
1937,1938,ASSISTANT DIRECTOR,In Old Chicago,Robert Webb
1937,1938,CINEMATOGRAPHY,The Good Earth,Karl Freund
1937,1938,DANCE DIRECTION,A Damsel in Distress,Hermes Pan
1937,1938,DIRECTING,The Awful Truth,Leo McCarey
1937,1938,FILM EDITING,Lost Horizon,"Gene Havlick, Gene Milford"
1937,1938,MUSIC (Scoring),One Hundred Men and a Girl,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)"
1937,1938,MUSIC (Song),Waikiki Wedding,Music and Lyrics by Harry Owens
1937,1938,OUTSTANDING PRODUCTION,The Life of Emile Zola,Warner Bros.
1937,1938,SHORT SUBJECT (Cartoon),The Old Mill,"Walt Disney, Producer"
1937,1938,SHORT SUBJECT (Color),Penny Wisdom,"Pete Smith, Producer"
1937,1938,SHORT SUBJECT (One-reel),The Private Life of the Gannets,Skibo Productions
1937,1938,SHORT SUBJECT (Two-reel),Torture Money,Metro-Goldwyn-Mayer
1937,1938,SOUND RECORDING,The Hurricane (1937),"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1937,1938,WRITING (Original Story),A Star Is Born (1937),"William A. Wellman, Robert Carson"
1937,1938,WRITING (Screenplay),The Life of Emile Zola,"Norman Reilly Raine, Heinz Herald, Geza Herczeg"
1938,1939,ACTOR,Boys Town,Spencer Tracy
1938,1939,ACTOR IN A SUPPORTING ROLE,Kentucky,Walter Brennan
1938,1939,ACTRESS,Jezebel,Bette Davis
1938,1939,ACTRESS IN A SUPPORTING ROLE,Jezebel,Fay Bainter
1938,1939,ART DIRECTION,The Adventures of Robin Hood,Carl J. Weyl
1938,1939,CINEMATOGRAPHY,The Great Waltz,Joseph Ruttenberg
1938,1939,DIRECTING,You Can't Take It with You,Frank Capra
1938,1939,FILM EDITING,The Adventures of Robin Hood,Ralph Dawson
1938,1939,MUSIC (Original Score),The Adventures of Robin Hood,Erich Wolfgang Korngold
1938,1939,MUSIC (Scoring),Alexander's Ragtime Band,Alfred Newman
1938,1939,MUSIC (Song),The Big Broadcast of 1938,Music by Ralph Rainger; Lyrics by Leo Robin
1938,1939,OUTSTANDING PRODUCTION,You Can't Take It with You,Columbia
1938,1939,SHORT SUBJECT (Cartoon),Ferdinand the Bull,"Walt Disney, Producer"
1938,1939,SHORT SUBJECT (One-reel),That Mothers Might Live,Metro-Goldwyn-Mayer
1938,1939,SHORT SUBJECT (Two-reel),Declaration of Independence,Warner Bros.
1938,1939,SOUND RECORDING,The Cowboy and the Lady,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1938,1939,WRITING (Original Story),Boys Town,"Dore Schary, Eleanore Griffin"
1938,1939,WRITING (Screenplay),Pygmalion,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple"
1939,1940,ACTOR,"Goodbye, Mr. Chips (1939)",Robert Donat
1939,1940,ACTOR IN A SUPPORTING ROLE,Stagecoach,Thomas Mitchell
1939,1940,ACTRESS,Gone with the Wind,Vivien Leigh
1939,1940,ACTRESS IN A SUPPORTING ROLE,Gone with the Wind,Hattie McDaniel
1939,1940,ART DIRECTION,Gone with the Wind,Lyle Wheeler
1939,1940,CINEMATOGRAPHY (Black-and-White),Wuthering Heights,Gregg Toland
1939,1940,CINEMATOGRAPHY (Color),Gone with the Wind,"Ernest Haller, Ray Rennahan"
1939,1940,DIRECTING,Gone with the Wind,Victor Fleming
1939,1940,FILM EDITING,Gone with the Wind,"Hal C. Kern, James E. Newcom"
1939,1940,MUSIC (Original Score),The Wizard of Oz,Herbert Stothart
1939,1940,MUSIC (Scoring),Stagecoach,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken"
1939,1940,MUSIC (Song),The Wizard of Oz,Music by Harold Arlen; Lyrics by E. Y. Harburg
1939,1940,OUTSTANDING PRODUCTION,Gone with the Wind,Selznick International Pictures
1939,1940,SHORT SUBJECT (Cartoon),The Ugly Duckling,"Walt Disney, Producer"
1939,1940,SHORT SUBJECT (One-reel),Busy Little Bears,Paramount
1939,1940,SHORT SUBJECT (Two-reel),Sons of Liberty,Warner Bros.
1939,1940,SOUND RECORDING,When Tomorrow Comes,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
1939,1940,SPECIAL EFFECTS,The Rains Came,"Fred Sersen, E. H. Hansen"
1939,1940,WRITING (Original Story),Mr. Smith Goes to Washington,Lewis R. Foster
1939,1940,WRITING (Screenplay),Gone with the Wind,Sidney Howard
1940,1941,ACTOR,The Philadelphia Story,James Stewart
1940,1941,ACTOR IN A SUPPORTING ROLE,The Westerner,Walter Brennan
1940,1941,ACTRESS,Kitty Foyle,Ginger Rogers
1940,1941,ACTRESS IN A SUPPORTING ROLE,The Grapes of Wrath,Jane Darwell
1940,1941,ART DIRECTION (Black-and-White),Pride and Prejudice,"Cedric Gibbons, Paul Groesse"
1940,1941,ART DIRECTION (Color),The Thief of Bagdad,Vincent Korda
1940,1941,CINEMATOGRAPHY (Black-and-White),Rebecca,George Barnes
1940,1941,CINEMATOGRAPHY (Color),The Thief of Bagdad,Georges Périnal
1940,1941,DIRECTING,The Grapes of Wrath,John Ford
1940,1941,FILM EDITING,North West Mounted Police,Anne Bauchens
1940,1941,MUSIC (Original Score),Pinocchio (1940),"Leigh Harline, Paul J. Smith, Ned Washington"
1940,1941,MUSIC (Scoring),Tin Pan Alley,Alfred Newman
1940,1941,MUSIC (Song),Pinocchio (1940),Music by Leigh Harline; Lyrics by Ned Washington
1940,1941,OUTSTANDING PRODUCTION,Rebecca,Selznick International Pictures
1940,1941,SHORT SUBJECT (Cartoon),The Milky Way,Metro-Goldwyn-Mayer
1940,1941,SHORT SUBJECT (One-reel),Quicker 'N a Wink,"Pete Smith, Producer"
1940,1941,SHORT SUBJECT (Two-reel),"Teddy, the Rough Rider",Warner Bros.
1940,1941,SOUND RECORDING,Strike Up the Band,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1940,1941,SPECIAL EFFECTS,The Thief of Bagdad,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney
1940,1941,WRITING (Original Screenplay),The Great McGinty,Preston Sturges
1940,1941,WRITING (Original Story),"Arise, My Love","Benjamin Glazer, John S. Toldy"
1940,1941,WRITING (Screenplay),The Philadelphia Story,Donald Ogden Stewart
1941,1942,ACTOR,Sergeant York,Gary Cooper
1941,1942,ACTOR IN A SUPPORTING ROLE,How Green Was My Valley,Donald Crisp
1941,1942,ACTRESS,Suspicion,Joan Fontaine
1941,1942,ACTRESS IN A SUPPORTING ROLE,The Great Lie,Mary Astor
1941,1942,ART DIRECTION (Black-and-White),How Green Was My Valley,"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little"
1941,1942,ART DIRECTION (Color),Blossoms in the Dust,"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis"
1941,1942,CINEMATOGRAPHY (Black-and-White),How Green Was My Valley,Arthur Miller
1941,1942,CINEMATOGRAPHY (Color),Blood and Sand,"Ernest Palmer, Ray Rennahan"
1941,1942,DIRECTING,How Green Was My Valley,John Ford
1941,1942,DOCUMENTARY (Short Subject),Churchill's Island,National Film Board of Canada
1941,1942,FILM EDITING,Sergeant York,William Holmes
1941,1942,MUSIC (Music Score of a Dramatic Picture),All That Money Can Buy,Bernard Herrmann
1941,1942,MUSIC (Scoring of a Musical Picture),Dumbo,"Frank Churchill, Oliver Wallace"
1941,1942,MUSIC (Song),Lady Be Good,Music by Jerome Kern; Lyrics by Oscar Hammerstein II
1941,1942,OUTSTANDING MOTION PICTURE,How Green Was My Valley,20th Century-Fox
1941,1942,SHORT SUBJECT (Cartoon),Lend a Paw,"Walt Disney, Producer"
1941,1942,SHORT SUBJECT (One-reel),Of Pups and Puzzles,Metro-Goldwyn-Mayer
1941,1942,SHORT SUBJECT (Two-reel),Main Street on the March!,Metro-Goldwyn-Mayer
1941,1942,SOUND RECORDING,That Hamilton Woman,"General Service Sound Department, Jack Whitney, Sound Director"
1941,1942,SPECIAL EFFECTS,I Wanted Wings,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop"
1941,1942,WRITING (Original Screenplay),Citizen Kane,"Herman J. Mankiewicz, Orson Welles"
1941,1942,WRITING (Original Story),Here Comes Mr. Jordan,Harry Segall
1941,1942,WRITING (Screenplay),Here Comes Mr. Jordan,"Sidney Buchman, Seton I. Miller"
1942,1943,ACTOR,Yankee Doodle Dandy,James Cagney
1942,1943,ACTOR IN A SUPPORTING ROLE,Johnny Eager,Van Heflin
1942,1943,ACTRESS,Mrs. Miniver,Greer Garson
1942,1943,ACTRESS IN A SUPPORTING ROLE,Mrs. Miniver,Teresa Wright
1942,1943,ART DIRECTION (Black-and-White),This above All,"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little"
1942,1943,ART DIRECTION (Color),My Gal Sal,"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little"
1942,1943,CINEMATOGRAPHY (Black-and-White),Mrs. Miniver,Joseph Ruttenberg
1942,1943,CINEMATOGRAPHY (Color),The Black Swan,Leon Shamroy
1942,1943,DIRECTING,Mrs. Miniver,William Wyler
1942,1943,DOCUMENTARY,Kokoda Front Line!,Australian News & Information Bureau
1942,1943,DOCUMENTARY,Moscow Strikes Back,Artkino
1942,1943,DOCUMENTARY,Prelude to War,United States Army Special Services
1942,1943,DOCUMENTARY,The Battle of Midway,United States Navy
1942,1943,FILM EDITING,The Pride of the Yankees,Daniel Mandell
1942,1943,MUSIC (Music Score of a Dramatic or Comedy Picture),"Now, Voyager",Max Steiner
1942,1943,MUSIC (Scoring of a Musical Picture),Yankee Doodle Dandy,"Ray Heindorf, Heinz Roemheld"
1942,1943,MUSIC (Song),Holiday Inn,Music and Lyrics by Irving Berlin
1942,1943,OUTSTANDING MOTION PICTURE,Mrs. Miniver,Metro-Goldwyn-Mayer
1942,1943,SHORT SUBJECT (Cartoon),Der Fuehrer's Face,"Walt Disney, Producer"
1942,1943,SHORT SUBJECT (One-reel),Speaking of Animals and Their Families,Paramount
1942,1943,SHORT SUBJECT (Two-reel),Beyond the Line of Duty,Warner Bros.
1942,1943,SOUND RECORDING,Yankee Doodle Dandy,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1942,1943,SPECIAL EFFECTS,Reap the Wild Wind,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop"
1942,1943,WRITING (Original Motion Picture Story),The Invaders,Emeric Pressburger
1942,1943,WRITING (Original Screenplay),Woman of the Year,"Ring Lardner, Jr., Michael Kanin"
1942,1943,WRITING (Screenplay),Mrs. Miniver,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West"
1943,1944,ACTOR,Watch on the Rhine,Paul Lukas
1943,1944,ACTOR IN A SUPPORTING ROLE,The More the Merrier,Charles Coburn
1943,1944,ACTRESS,The Song of Bernadette,Jennifer Jones
1943,1944,ACTRESS IN A SUPPORTING ROLE,For Whom the Bell Tolls,Katina Paxinou
1943,1944,ART DIRECTION (Black-and-White),The Song of Bernadette,"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little"
1943,1944,ART DIRECTION (Color),Phantom of the Opera,"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb"
1943,1944,CINEMATOGRAPHY (Black-and-White),The Song of Bernadette,Arthur Miller
1943,1944,CINEMATOGRAPHY (Color),Phantom of the Opera,"Hal Mohr, W. Howard Greene"
1943,1944,DIRECTING,Casablanca,Michael Curtiz
1943,1944,DOCUMENTARY (Feature),Desert Victory,British Ministry of Information
1943,1944,DOCUMENTARY (Short Subject),December 7th,United States Navy
1943,1944,FILM EDITING,Air Force,George Amy
1943,1944,MUSIC (Music Score of a Dramatic or Comedy Picture),The Song of Bernadette,Alfred Newman
1943,1944,MUSIC (Scoring of a Musical Picture),This Is the Army,Ray Heindorf
1943,1944,MUSIC (Song),"Hello, Frisco, Hello",Music by Harry Warren; Lyrics by Mack Gordon
1943,1944,OUTSTANDING MOTION PICTURE,Casablanca,Warner Bros.
1943,1944,SHORT SUBJECT (Cartoon),Yankee Doodle Mouse,"Frederick Quimby, Producer"
1943,1944,SHORT SUBJECT (One-reel),Amphibious Fighters,"Grantland Rice, Producer"
1943,1944,SHORT SUBJECT (Two-reel),Heavenly Music,"Jerry Bresler and Sam Coslow, Producers"
1943,1944,SOUND RECORDING,This Land Is Mine,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
1943,1944,SPECIAL EFFECTS,Crash Dive,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman
1943,1944,WRITING (Original Motion Picture Story),The Human Comedy,William Saroyan
1943,1944,WRITING (Original Screenplay),Princess O'Rourke,Norman Krasna
1943,1944,WRITING (Screenplay),Casablanca,"Julius J. Epstein, Philip G. Epstein, Howard Koch"
1944,1945,ACTOR,Going My Way,Bing Crosby
1944,1945,ACTOR IN A SUPPORTING ROLE,Going My Way,Barry Fitzgerald
1944,1945,ACTRESS,Gaslight,Ingrid Bergman
1944,1945,ACTRESS IN A SUPPORTING ROLE,None but the Lonely Heart,Ethel Barrymore
1944,1945,ART DIRECTION (Black-and-White),Gaslight,"Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky"
1944,1945,ART DIRECTION (Color),Wilson,Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little
1944,1945,BEST MOTION PICTURE,Going My Way,Paramount
1944,1945,CINEMATOGRAPHY (Black-and-White),Laura,Joseph LaShelle
1944,1945,CINEMATOGRAPHY (Color),Wilson,Leon Shamroy
1944,1945,DIRECTING,Going My Way,Leo McCarey
1944,1945,DOCUMENTARY (Feature),The Fighting Lady,United States Navy
1944,1945,DOCUMENTARY (Short Subject),With the Marines at Tarawa,United States Marine Corps
1944,1945,FILM EDITING,Wilson,Barbara McLean
1944,1945,MUSIC (Music Score of a Dramatic or Comedy Picture),Since You Went Away,Max Steiner
1944,1945,MUSIC (Scoring of a Musical Picture),Cover Girl,"Morris Stoloff, Carmen Dragon"
1944,1945,MUSIC (Song),Going My Way,Music by James Van Heusen; Lyrics by Johnny Burke
1944,1945,SHORT SUBJECT (Cartoon),Mouse Trouble,"Frederick C. Quimby, Producer"
1944,1945,SHORT SUBJECT (One-reel),Who's Who in Animal Land,"Jerry Fairbanks, Producer"
1944,1945,SHORT SUBJECT (Two-reel),I Won't Play,"Gordon Hollingshead, Producer"
1944,1945,SOUND RECORDING,Wilson,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1944,1945,SPECIAL EFFECTS,Thirty Seconds over Tokyo,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer"
1944,1945,WRITING (Original Motion Picture Story),Going My Way,Leo McCarey
1944,1945,WRITING (Original Screenplay),Wilson,Lamar Trotti
1944,1945,WRITING (Screenplay),Going My Way,"Frank Butler, Frank Cavett"
1945,1946,ACTOR,The Lost Weekend,Ray Milland
1945,1946,ACTOR IN A SUPPORTING ROLE,A Tree Grows in Brooklyn,James Dunn
1945,1946,ACTRESS,Mildred Pierce,Joan Crawford
1945,1946,ACTRESS IN A SUPPORTING ROLE,National Velvet,Anne Revere
1945,1946,ART DIRECTION (Black-and-White),Blood on the Sun,Art Direction:  Wiard Ihnen;  Interior Decoration:  A. Roland Fields
1945,1946,ART DIRECTION (Color),Frenchman's Creek,"Art Direction:  Hans Dreier, Ernst Fegte;  Interior Decoration:  Sam Comer"
1945,1946,BEST MOTION PICTURE,The Lost Weekend,Paramount
1945,1946,CINEMATOGRAPHY (Black-and-White),The Picture of Dorian Gray,Harry Stradling
1945,1946,CINEMATOGRAPHY (Color),Leave Her to Heaven,Leon Shamroy
1945,1946,DIRECTING,The Lost Weekend,Billy Wilder
1945,1946,DOCUMENTARY (Feature),The True Glory,The Governments of Great Britain and the United States of America
1945,1946,DOCUMENTARY (Short Subject),Hitler Lives?,"Gordon Hollingshead, Producer"
1945,1946,FILM EDITING,National Velvet,Robert J. Kern
1945,1946,MUSIC (Music Score of a Dramatic or Comedy Picture),Spellbound (1945),Miklos Rozsa
1945,1946,MUSIC (Scoring of a Musical Picture),Anchors Aweigh,Georgie Stoll
1945,1946,MUSIC (Song),State Fair (1945),Music by Richard Rodgers; Lyrics by Oscar Hammerstein II
1945,1946,SHORT SUBJECT (Cartoon),Quiet Please!,"Frederick Quimby, Producer"
1945,1946,SHORT SUBJECT (One-reel),Stairway to Light,"Herbert Moulton, Producer;  Jerry Bresler, Executive Producer"
1945,1946,SHORT SUBJECT (Two-reel),Star in the Night,"Gordon Hollingshead, Producer"
1945,1946,SOUND RECORDING,The Bells of St. Mary's,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
1945,1946,SPECIAL EFFECTS,Wonder Man,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns
1945,1946,WRITING (Original Motion Picture Story),The House on 92nd Street,Charles G. Booth
1945,1946,WRITING (Original Screenplay),Marie-Louise,Richard Schweizer
1945,1946,WRITING (Screenplay),The Lost Weekend,"Charles Brackett, Billy Wilder"
1946,1947,ACTOR,The Best Years of Our Lives,Fredric March
1946,1947,ACTOR IN A SUPPORTING ROLE,The Best Years of Our Lives,Harold Russell
1946,1947,ACTRESS,To Each His Own,Olivia de Havilland
1946,1947,ACTRESS IN A SUPPORTING ROLE,The Razor's Edge,Anne Baxter
1946,1947,ART DIRECTION (Black-and-White),Anna and the King of Siam,"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes"
1946,1947,ART DIRECTION (Color),The Yearling,"Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis"
1946,1947,BEST MOTION PICTURE,The Best Years of Our Lives,Samuel Goldwyn Productions
1946,1947,CINEMATOGRAPHY (Black-and-White),Anna and the King of Siam,Arthur Miller
1946,1947,CINEMATOGRAPHY (Color),The Yearling,"Charles Rosher, Leonard Smith, Arthur Arling"
1946,1947,DIRECTING,The Best Years of Our Lives,William Wyler
1946,1947,DOCUMENTARY (Short Subject),Seeds of Destiny,United States Department of War
1946,1947,FILM EDITING,The Best Years of Our Lives,Daniel Mandell
1946,1947,MUSIC (Music Score of a Dramatic or Comedy Picture),The Best Years of Our Lives,Hugo Friedhofer
1946,1947,MUSIC (Scoring of a Musical Picture),The Jolson Story,Morris Stoloff
1946,1947,MUSIC (Song),The Harvey Girls,Music by Harry Warren; Lyrics by Johnny Mercer
1946,1947,SHORT SUBJECT (Cartoon),The Cat Concerto,"Frederick Quimby, Producer"
1946,1947,SHORT SUBJECT (One-reel),Facing Your Danger,"Gordon Hollingshead, Producer"
1946,1947,SHORT SUBJECT (Two-reel),A Boy and His Dog,"Gordon Hollingshead, Producer"
1946,1947,SOUND RECORDING,The Jolson Story,"Columbia Studio Sound Department, John Livadary, Sound Director"
1946,1947,SPECIAL EFFECTS,Blithe Spirit,Special Visual Effects by Thomas Howard
1946,1947,WRITING (Original Motion Picture Story),Vacation from Marriage,Clemence Dane
1946,1947,WRITING (Original Screenplay),The Seventh Veil,"Muriel Box, Sydney Box"
1946,1947,WRITING (Screenplay),The Best Years of Our Lives,Robert E. Sherwood
1947,1948,ACTOR,A Double Life,Ronald Colman
1947,1948,ACTOR IN A SUPPORTING ROLE,Miracle on 34th Street,Edmund Gwenn
1947,1948,ACTRESS,The Farmer's Daughter,Loretta Young
1947,1948,ACTRESS IN A SUPPORTING ROLE,Gentleman's Agreement,Celeste Holm
1947,1948,ART DIRECTION (Black-and-White),Great Expectations,Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton
1947,1948,ART DIRECTION (Color),Black Narcissus,Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge
1947,1948,BEST MOTION PICTURE,Gentleman's Agreement,20th Century-Fox
1947,1948,CINEMATOGRAPHY (Black-and-White),Great Expectations,Guy Green
1947,1948,CINEMATOGRAPHY (Color),Black Narcissus,Jack Cardiff
1947,1948,DIRECTING,Gentleman's Agreement,Elia Kazan
1947,1948,DOCUMENTARY (Feature),Design for Death,"Sid Rogell, Executive Producer;  Theron Warth and Richard O. Fleischer, Producers"
1947,1948,DOCUMENTARY (Short Subject),First Steps,United Nations Division of Films and Visual Information
1947,1948,FILM EDITING,Body and Soul,"Francis Lyon, Robert Parrish"
1947,1948,MUSIC (Music Score of a Dramatic or Comedy Picture),A Double Life,Dr. Miklos Rozsa
1947,1948,MUSIC (Scoring of a Musical Picture),Mother Wore Tights,Alfred Newman
1947,1948,MUSIC (Song),Song of the South,Music by Allie Wrubel; Lyrics by Ray Gilbert
1947,1948,SHORT SUBJECT (Cartoon),Tweetie Pie,"Edward Selzer, Producer"
1947,1948,SHORT SUBJECT (One-reel),Good-bye Miss Turlock,"Herbert Moulton, Producer"
1947,1948,SHORT SUBJECT (Two-reel),Climbing the Matterhorn,"Irving Allen, Producer"
1947,1948,SOUND RECORDING,The Bishop's Wife,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director"
1947,1948,SPECIAL EFFECTS,Green Dolphin Street,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore"
1947,1948,WRITING (Motion Picture Story),Miracle on 34th Street,Valentine Davies
1947,1948,WRITING (Original Screenplay),The Bachelor and the Bobby-Soxer,Sidney Sheldon
1947,1948,WRITING (Screenplay),Miracle on 34th Street,George Seaton
1948,1949,ACTOR,Hamlet (1948),Laurence Olivier
1948,1949,ACTOR IN A SUPPORTING ROLE,The Treasure of the Sierra Madre,Walter Huston
1948,1949,ACTRESS,Johnny Belinda,Jane Wyman
1948,1949,ACTRESS IN A SUPPORTING ROLE,Key Largo,Claire Trevor
1948,1949,ART DIRECTION (Black-and-White),Hamlet (1948),Art Direction:  Roger K. Furse;  Set Decoration:  Carmen Dillon
1948,1949,ART DIRECTION (Color),The Red Shoes,Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson
1948,1949,BEST MOTION PICTURE,Hamlet (1948),J. Arthur Rank-Two Cities Films
1948,1949,CINEMATOGRAPHY (Black-and-White),The Naked City,William Daniels
1948,1949,CINEMATOGRAPHY (Color),Joan of Arc,"Joseph Valentine, William V. Skall, Winton Hoch"
1948,1949,COSTUME DESIGN (Black-and-White),Hamlet (1948),Roger K. Furse
1948,1949,COSTUME DESIGN (Color),Joan of Arc,"Dorothy Jeakins, Karinska"
1948,1949,DIRECTING,The Treasure of the Sierra Madre,John Huston
1948,1949,DOCUMENTARY (Feature),The Secret Land,"Orville O. Dull, Producer"
1948,1949,DOCUMENTARY (Short Subject),Toward Independence,United States Army
1948,1949,FILM EDITING,The Naked City,Paul Weatherwax
