1923,Medicine,Frederick G. Banting,1891-11-14
1923,Medicine,John Macleod,1876-09-06
1923,Physics,Robert A. Millikan,1868-03-22
1924,Literature,Władysław Reymont,1867-05-07
1924,Medicine,Willem Einthoven,1860-05-21
1924,Physics,Manne Siegbahn,1886-12-03
1925,Chemistry,Richard Zsigmondy,1865-04-01
1925,Literature,George Bernard Shaw,1856-07-26
1925,Peace,Charles G. Dawes,1865-08-27
1925,Peace,Sir Austen Chamberlain,1863-10-16
1925,Physics,Gustav Hertz,1887-07-22
1925,Physics,James Franck,1882-08-26
1926,Chemistry,The Svedberg,1884-08-30
1926,Literature,Grazia Deledda,1871-09-27
1926,Medicine,Johannes Fibiger,1867-04-23
1926,Peace,Aristide Briand,1862-03-28
1926,Peace,Gustav Stresemann,1878-05-10
1926,Physics,Jean Baptiste Perrin,1870-09-30
1927,Chemistry,Heinrich Wieland,1877-06-04
1927,Literature,Henri Bergson,1859-10-18
1927,Medicine,Julius Wagner-Jauregg,1857-03-07
1927,Peace,Ferdinand Buisson,1841-12-20
1927,Peace,Ludwig Quidde,1858-03-23
1927,Physics,Arthur H. Compton,1892-09-10
1927,Physics,C.T.R. Wilson,1869-02-14
1928,Chemistry,Adolf Windaus,1876-12-25
1928,Literature,Sigrid Undset,1882-05-20
1928,Medicine,Charles Nicolle,1866-09-21
1928,Physics,Owen Willans Richardson,1879-04-26
1929,Chemistry,Arthur Harden,1865-10-12
1929,Chemistry,Hans von Euler-Chelpin,1873-02-15
1929,Literature,Thomas Mann,1875-06-06
1929,Medicine,Christiaan Eijkman,1858-08-11
1929,Medicine,Sir Frederick Hopkins,1861-06-20
1929,Peace,Frank B. Kellogg,1856-12-22
1929,Physics,Louis de Broglie,1892-08-15
1930,Chemistry,Hans Fischer,1881-07-27
1930,Literature,Sinclair Lewis,1885-02-07
1930,Medicine,Karl Landsteiner,1868-06-14
1930,Peace,Nathan Söderblom,1866-01-15
1930,Physics,Sir Chandrasekhara Venkata Raman,1888-11-07
1931,Chemistry,Carl Bosch,1874-08-27
